Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,388870,1.2,1.12
,,r022,dried -- salted or smoked meat of pig,1000,530,0.7,0.3,388870,1.2,1.12
,,r023,dried -- salted or smoked other meats,120,80,..,..,388870,1.2,1.12
,,r024,meat -- sausages and meat of sandwiches,670,200,0.5,0.2,388870,1.2,1.12
,,r025,pastry -- cured meats and provisions,180,70,..,..,388870,1.2,1.12
,,r026,meatdishes,230,130,0.2,0.1,388870,1.2,1.12
,,r027,meat - unspecified,..,..,..,..,388870,1.2,1.12
,,r028,fish,1270,330,0.9,0.3,388870,1.2,1.12
,,r029,fresh -- chilled or frozen fish -- of which:,480,220,0.4,0.2,388870,1.2,1.12
,,r030,codfish,80,60,..,..,388870,1.2,1.12
,,r031,salomonfish,230,180,..,..,388870,1.2,1.12
,,r032,herring,..,..,..,..,388870,1.2,1.12
,,r033,other fish,130,80,..,..,388870,1.2,1.12
,,r034,seafood,..,..,..,..,388870,1.2,1.12
,,r035,caviar -- roes -- other fishproducts,100,50,..,..,388870,1.2,1.12
,,r036,fish and seafood dishes,620,220,0.4,0.1,388870,1.2,1.12
,,r037,fish and seafood - unspecified,..,..,..,..,388870,1.2,1.12
,,r038,milk -- cheese and eggs,3140,450,2.3,0.3,388870,1.2,1.12
,,r039,milk (fat >=1 --5%),250,90,0.3,0.2,388870,1.2,1.12
,,r040,low fat milk (fat <1 --5%),540,150,0.4,0.1,388870,1.2,1.12
,,r041,preserved milk,30,20,..,..,388870,1.2,1.12
,,r042,yoghurt and sour milk,470,130,0.3,0.1,388870,1.2,1.12
,,r043,cream -- sour cream (fat>=29%),150,60,..,..,388870,1.2,1.12
,,r044,cream -- sour cream (fat<29%),190,70,..,..,388870,1.2,1.12
,,r045,cheese (fat >=17%),870,210,0.6,0.2,388870,1.2,1.12
,,r046,cheese (fat <17%),310,120,0.2,0.1,388870,1.2,1.12
,,r047,eggs,340,80,0.3,0.1,388870,1.2,1.12
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,388870,1.2,1.12
,,r049,oils and fats,570,110,0.4,0.1,388870,1.2,1.12
,,r050,butter,220,80,0.2,0.1,388870,1.2,1.12
,,r051,margarine (fat>=40%),160,60,..,..,388870,1.2,1.12
,,r052,margarine (fat<40%),70,30,..,..,388870,1.2,1.12
,,r053,olive oil -- cooking oil -- mayonnaise,110,60,..,..,388870,1.2,1.12
,,r054,fruit and berries,1510,320,1.0,0.2,388870,1.2,1.12
,,r055,apples,220,90,0.2,0.1,388870,1.2,1.12
,,r056,pears,40,30,..,..,388870,1.2,1.12
,,r057,bananas,210,70,..,..,388870,1.2,1.12
,,r058,citrus fruits,320,120,0.2,0.1,388870,1.2,1.12
,,r059,other fresh fruit,140,60,..,..,388870,1.2,1.12
,,r060,dried fruit,310,130,0.2,0.1,388870,1.2,1.12
,,r061,berries,170,70,..,..,388870,1.2,1.12
,,r062,preserved fruit and fruit based products,60,40,..,..,388870,1.2,1.12
,,r063,others fruit and berries,..,..,..,..,388870,1.2,1.12
,,r064,vegetables,2120,400,1.4,0.2,388870,1.2,1.12
,,r065,leaf and stem vegetables,230,70,..,..,388870,1.2,1.12
,,r066,cabbages -- fresh,130,60,..,..,388870,1.2,1.12
,,r067,vegetables cultivated for their fruit -- fresh ,630,140,0.4,0.1,388870,1.2,1.12
,,r068,onion -- leek -- fresh,130,50,..,..,388870,1.2,1.12
,,r069,mashrooms -- fresh,30,20,..,..,388870,1.2,1.12
,,r070,soups -- vegetabledishes,370,130,0.2,0.1,388870,1.2,1.12
,,r071,root crops,120,40,..,..,388870,1.2,1.12
,,r072,potatoes,250,70,0.2,0.1,388870,1.2,1.12
,,r073,products of potatoes (french fries -- mashed potatoes),170,90,..,..,388870,1.2,1.12
,,r074,vegetables - unspecified,..,..,..,..,388870,1.2,1.12
,,r075,sugar and sweets,1450,310,1.0,0.2,388870,1.2,1.12
,,r076,sugar -- jam -- honey -- chocolate and confectionery,170,80,..,..,388870,1.2,1.12
,,r077,jams -- marmelade,130,70,..,..,388870,1.2,1.12
,,r078,ice cream,170,70,..,..,388870,1.2,1.12
,,r079,other suger products,970,250,0.6,0.2,388870,1.2,1.12
,,r080,sauces -- condiments,240,80,0.2,0.1,388870,1.2,1.12
,,r081,salt -- spices and culinary herbs,250,100,0.2,0.1,388870,1.2,1.12
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,250,90,0.3,0.2,388870,1.2,1.12
,,r083,snacks,250,100,0.2,0.1,388870,1.2,1.12
,,r084,unspec provisions,..,..,..,..,388870,1.2,1.12
,,r085,non alcoholic beverages,1580,300,1.1,0.2,388870,1.2,1.12
,,r086,fruit- and vegetable juices,200,80,..,..,388870,1.2,1.12
,,r087,soft drinks,620,180,0.4,0.1,388870,1.2,1.12
,,r088,mineral or spring waters,90,60,..,..,388870,1.2,1.12
,,r089,coffee,580,170,0.4,0.1,388870,1.2,1.12
,,r090,tee,70,40,..,..,388870,1.2,1.12
,,r091,cacao,30,20,..,..,388870,1.2,1.12
,,r092,dinner out,5620,2580,3.6,1.3,388870,1.2,1.12
,,r093,alcoholic beverages (with low-strength beer),1610,760,1.1,0.6,388870,1.2,1.12
,,r094,tobacco ,1170,750,0.7,0.4,388870,1.2,1.12
,,r095,consumer goods,3400,950,2.6,1.0,388870,1.2,1.12
,,r096,personal hygiene,1880,750,1.4,0.8,388870,1.2,1.12
,,r097,other consumption purposes,1520,610,1.2,0.6,388870,1.2,1.12
,,r098,domestic services,4760,1610,2.8,0.8,388870,1.2,1.12
,,r099,childminding,210,180,..,..,388870,1.2,1.12
,,r100,charge of skill -- other insurance,1710,500,1.3,0.4,388870,1.2,1.12
,,r101,other services,2840,1480,1.4,0.6,388870,1.2,1.12
,,r102,clothing and footwear,4080,1560,2.5,1.0,388870,1.2,1.12
,,r103,clothing,3320,1300,2.2,1.0,388870,1.2,1.12
,,r104, outdoor clothes,910,670,0.5,0.4,388870,1.2,1.12
,,r105,other clothes,1600,930,1.2,0.8,388870,1.2,1.12
,,r106,underwear,480,280,0.3,0.2,388870,1.2,1.12
,,r107,accessoarer -- hats -- caps -- gloves etc.,..,..,..,..,388870,1.2,1.12
,,r108,footwear,750,670,0.4,0.3,388870,1.2,1.12
,,r109,housing,53170,3750,39.2,3.3,388870,1.2,1.12
,,r110,actual rentals for housing (incl. garage),39500,4730,29.9,4.0,388870,1.2,1.12
,,r111,reparations,380,340,..,..,388870,1.2,1.12
,,r112,householder´s comprehensive insurance,1430,330,1.0,0.2,388870,1.2,1.12
,,r113,services associates with housing ,1450,710,1.0,0.5,388870,1.2,1.12
,,r114,electicity -- gas and other fuels ,6040,1810,4.2,1.3,388870,1.2,1.12
,,r115,interests (gross),3390,1620,2.1,1.1,388870,1.2,1.12
,,r116,furnishings -- household equipment and routine maintenance of the house,4400,1390,2.9,0.9,388870,1.2,1.12
,,r117,furniture and furnishings -- carpets and other floor coverings,1820,910,0.9,0.4,388870,1.2,1.12
,,r118,textile,..,..,..,..,388870,1.2,1.12
,,r119,household applience,2300,780,1.7,0.7,388870,1.2,1.12
,,r120,health and hospital services,3620,1170,2.7,0.9,388870,1.2,1.12
,,r121,transport,19010,5960,10.2,2.1,388870,1.2,1.12
,,r122,purchase of new motor-cars,2410,2070,..,..,388870,1.2,1.12
,,r123,purchase of other vehicles,830,580,0.5,0.3,388870,1.2,1.12
,,r124,operation of motor-cars,11320,4880,6.1,1.8,388870,1.2,1.12
,,r125,interests (motorcars - gross) -- licence duty,770,200,0.6,0.2,388870,1.2,1.12
,,r126,operation of other vehicles,310,300,..,..,388870,1.2,1.12
,,r127,interests (other vehicles - gross) -- licence duty (other vehicles),..,..,..,..,388870,1.2,1.12
,,r128,services of transport,3360,1550,2.0,0.8,388870,1.2,1.12
,,r129,leisure time and culture,26270,5480,16.5,2.2,388870,1.2,1.12
,,r130,weekend cottage,..,..,..,..,388870,1.2,1.12
,,r131,radio and tv,1830,720,1.1,0.4,388870,1.2,1.12
,,r132,sport and hobby,3940,3320,1.8,1.1,388870,1.2,1.12
,,r133,watch -- camera -- photographic and cinematographic equipment,330,250,0.2,0.1,388870,1.2,1.12
,,r134,holidays -- hotels,3280,1340,1.7,0.6,388870,1.2,1.12
,,r135,other spare time,5930,2660,3.9,1.2,388870,1.2,1.12
,,r136,entertainment,690,500,0.4,0.3,388870,1.2,1.12
,,r137,books -- newspapers -- television taxes,6110,1110,4.3,0.7,388870,1.2,1.12
,,r138,mobiltelephone (callcharge and subscription fee),1500,500,0.9,0.3,388870,1.2,1.12
,,r139,telephone (callcharge and subscription fee),2030,410,1.8,0.8,388870,1.2,1.12
D3,decil 3,r001,total expenditures,176740,12560,100.0,0.0,409720,1.3,1.15
,,r002,food,23370,2320,14.5,1.5,409720,1.3,1.15
,,r003,bread and cereals,3800,420,2.4,0.3,409720,1.3,1.15
,,r004,rice and products of rice -- of which:,150,60,..,..,409720,1.3,1.15
,,r005,rice,70,40,..,..,409720,1.3,1.15
,,r006,products of rice,80,50,..,..,409720,1.3,1.15
,,r007,pasta products,190,70,..,..,409720,1.3,1.15
,,r008,flour -- grain,430,110,0.3,0.1,409720,1.3,1.15
,,r009,bread -- of which:,1760,260,1.2,0.2,409720,1.3,1.15
,,r010,hard bread,250,70,0.2,0.1,409720,1.3,1.15
,,r011,soft white bread,270,90,0.2,0.1,409720,1.3,1.15
,,r012,soft brown bread,360,120,0.3,0.1,409720,1.3,1.15
,,r013,soft light bread,600,150,0.4,0.1,409720,1.3,1.15
,,r014,bread unspecified,280,90,0.2,0.1,409720,1.3,1.15
,,r015,pastry-cook products,1260,290,0.8,0.2,409720,1.3,1.15
,,r016,meat,4430,790,2.7,0.5,409720,1.3,1.15
,,r017,fresh -- chilled or frozen meat of bovine animals,620,270,0.4,0.2,409720,1.3,1.15
,,r018,fresh -- chilled or frozen meat of pig,840,280,0.5,0.2,409720,1.3,1.15
,,r019,fresh -- chilled or frozen meat of sheep and goat,40,30,..,..,409720,1.3,1.15
,,r020,fresh -- chilled or frozen meat of poultry,550,310,0.3,0.2,409720,1.3,1.15
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,409720,1.3,1.15
,,r022,dried -- salted or smoked meat of pig,950,340,0.6,0.2,409720,1.3,1.15
,,r023,dried -- salted or smoked other meats,180,70,..,..,409720,1.3,1.15
,,r024,meat -- sausages and meat of sandwiches,690,180,0.4,0.1,409720,1.3,1.15
,,r025,pastry -- cured meats and provisions,210,70,..,..,409720,1.3,1.15
,,r026,meatdishes,230,110,..,..,409720,1.3,1.15
,,r027,meat - unspecified,130,100,..,..,409720,1.3,1.15
,,r028,fish,2110,480,1.3,0.3,409720,1.3,1.15
,,r029,fresh -- chilled or frozen fish -- of which:,820,320,0.5,0.2,409720,1.3,1.15
,,r030,codfish,280,160,0.2,0.1,409720,1.3,1.15
,,r031,salomonfish,330,210,0.2,0.1,409720,1.3,1.15
,,r032,herring,..,..,..,..,409720,1.3,1.15
,,r033,other fish,150,100,..,..,409720,1.3,1.15
,,r034,seafood,220,200,..,..,409720,1.3,1.15
,,r035,caviar -- roes -- other fishproducts,120,60,..,..,409720,1.3,1.15
,,r036,fish and seafood dishes,950,280,0.6,0.2,409720,1.3,1.15
,,r037,fish and seafood - unspecified,..,..,..,..,409720,1.3,1.15
,,r038,milk -- cheese and eggs,4040,510,2.5,0.3,409720,1.3,1.15
,,r039,milk (fat >=1 --5%),250,80,..,..,409720,1.3,1.15
,,r040,low fat milk (fat <1 --5%),710,170,0.5,0.1,409720,1.3,1.15
,,r041,preserved milk,..,..,..,..,409720,1.3,1.15
,,r042,yoghurt and sour milk,730,190,0.4,0.1,409720,1.3,1.15
,,r043,cream -- sour cream (fat>=29%),190,50,..,..,409720,1.3,1.15
,,r044,cream -- sour cream (fat<29%),250,70,0.2,0.1,409720,1.3,1.15
,,r045,cheese (fat >=17%),1000,200,0.6,0.1,409720,1.3,1.15
,,r046,cheese (fat <17%),500,140,0.3,0.1,409720,1.3,1.15
,,r047,eggs,400,90,0.2,0.1,409720,1.3,1.15
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,409720,1.3,1.15
,,r049,oils and fats,750,150,0.5,0.1,409720,1.3,1.15
,,r050,butter,340,100,0.2,0.1,409720,1.3,1.15
,,r051,margarine (fat>=40%),190,60,..,..,409720,1.3,1.15
,,r052,margarine (fat<40%),70,30,..,..,409720,1.3,1.15
,,r053,olive oil -- cooking oil -- mayonnaise,150,90,..,..,409720,1.3,1.15
,,r054,fruit and berries,2260,510,1.3,0.3,409720,1.3,1.15
,,r055,apples,280,90,0.2,0.1,409720,1.3,1.15
,,r056,pears,70,40,..,..,409720,1.3,1.15
,,r057,bananas,360,100,0.2,0.1,409720,1.3,1.15
,,r058,citrus fruits,310,90,0.2,0.1,409720,1.3,1.15
,,r059,other fresh fruit,370,170,0.2,0.1,409720,1.3,1.15
,,r060,dried fruit,490,230,0.3,0.1,409720,1.3,1.15
,,r061,berries,330,150,0.2,0.1,409720,1.3,1.15
,,r062,preserved fruit and fruit based products,40,30,..,..,409720,1.3,1.15
,,r063,others fruit and berries,..,..,..,..,409720,1.3,1.15
,,r064,vegetables,2590,460,1.7,0.4,409720,1.3,1.15
,,r065,leaf and stem vegetables,460,260,0.3,0.2,409720,1.3,1.15
,,r066,cabbages -- fresh,100,50,..,..,409720,1.3,1.15
,,r067,vegetables cultivated for their fruit -- fresh ,890,180,0.6,0.1,409720,1.3,1.15
,,r068,onion -- leek -- fresh,120,40,..,..,409720,1.3,1.15
,,r069,mashrooms -- fresh,30,20,..,..,409720,1.3,1.15
,,r070,soups -- vegetabledishes,370,90,0.2,0.1,409720,1.3,1.15
,,r071,root crops,180,80,..,..,409720,1.3,1.15
,,r072,potatoes,210,60,..,..,409720,1.3,1.15
,,r073,products of potatoes (french fries -- mashed potatoes),200,110,..,..,409720,1.3,1.15
,,r074,vegetables - unspecified,..,..,..,..,409720,1.3,1.15
,,r075,sugar and sweets,2090,330,1.3,0.2,409720,1.3,1.15
,,r076,sugar -- jam -- honey -- chocolate and confectionery,210,100,0.2,0.1,409720,1.3,1.15
,,r077,jams -- marmelade,180,80,..,..,409720,1.3,1.15
,,r078,ice cream,350,160,0.2,0.1,409720,1.3,1.15
,,r079,other suger products,1350,240,0.8,0.1,409720,1.3,1.15
,,r080,sauces -- condiments,340,80,0.2,0.1,409720,1.3,1.15
,,r081,salt -- spices and culinary herbs,230,80,..,..,409720,1.3,1.15
,,r082,baby food -- dietary preparations -- baker´s yeast and other food preparations,180,80,..,..,409720,1.3,1.15
,,r083,snacks,260,130,0.2,0.1,409720,1.3,1.15
,,r084,unspec provisions,..,..,..,..,409720,1.3,1.15
,,r085,non alcoholic beverages,1820,280,1.1,0.2,409720,1.3,1.15
,,r086,fruit- and vegetable juices,320,110,0.2,0.1,409720,1.3,1.15
,,r087,soft drinks,650,180,0.4,0.1,409720,1.3,1.15
,,r088,mineral or spring waters,190,90,..,..,409720,1.3,1.15
,,r089,coffee,560,140,0.3,0.1,409720,1.3,1.15
,,r090,tee,90,60,..,..,409720,1.3,1.15
,,r091,cacao,..,..,..,..,409720,1.3,1.15
,,r092,dinner out,5140,1260,2.7,0.7,409720,1.3,1.15
,,r093,alcoholic beverages (with low-strength beer),3100,1070,1.7,0.6,409720,1.3,1.15
,,r094,tobacco ,1330,700,1.0,0.5,409720,1.3,1.15
,,r095,consumer goods,4120,950,2.4,0.5,409720,1.3,1.15
,,r096,personal hygiene,2370,850,1.4,0.5,409720,1.3,1.15
,,r097,other consumption purposes,1750,420,1.0,0.2,409720,1.3,1.15
,,r098,domestic services,8330,2070,4.6,1.1,409720,1.3,1.15
,,r099,childminding,210,170,..,..,409720,1.3,1.15
,,r100,charge of skill -- other insurance,3640,670,2.2,0.4,409720,1.3,1.15
,,r101,other services,4480,2070,2.3,1.1,409720,1.3,1.15
