Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,010-19,10-19 years,1,men,57009,60467,64425,68288,73235,78759,83291,84549,84679
,,,,,2,women,53019,56106,58805,62198,65945,69900,73425,76046,77469
,,,,,4,men and women,110028,116573,123230,130486,139180,148659,156716,160595,162148
,,,020-29,20-29 years,1,men,75860,78196,81625,86269,92263,96233,98858,104100,106004
,,,,,2,women,77579,79590,81854,83879,86374,88795,89870,90501,90098
,,,,,4,men and women,153439,157786,163479,170148,178637,185028,188728,194601,196102
,,,030-39,30-39 years,1,men,79814,84453,90476,96309,102530,107667,111698,114150,114882
,,,,,2,women,75852,80258,84658,89067,94095,98917,102998,105823,106148
,,,,,4,men and women,155666,164711,175134,185376,196625,206584,214696,219973,221030
,,,040-49,40-49 years,1,men,60778,62734,65829,69396,72826,76635,79815,82717,85577
,,,,,2,women,60069,62213,64965,67957,70678,74058,76799,79268,81685
,,,,,4,men and women,120847,124947,130794,137353,143504,150693,156614,161985,167262
,,,050-59,50-59 years,1,men,45252,47464,49754,52389,54800,56884,59007,60855,61856
,,,,,2,women,44667,46578,48628,50966,53187,55330,57688,59620,61142
,,,,,4,men and women,89919,94042,98382,103355,107987,112214,116695,120475,122998
,,,060-64,60-64 years,1,men,15223,15894,16844,17690,19045,20204,20990,21741,22943
,,,,,2,women,16555,17040,17917,18564,19731,20744,21488,22332,23387
,,,,,4,men and women,31778,32934,34761,36254,38776,40948,42478,44073,46330
,,,065-69,65-69 years,1,men,11099,11821,12630,13515,14083,14728,15406,16180,16820
,,,,,2,women,12117,13205,14219,15153,15940,16542,17042,17774,18416
,,,,,4,men and women,23216,25026,26849,28668,30023,31270,32448,33954,35236
,,,070-79,70-79 years,1,men,13416,13919,14607,15403,16304,17307,18075,18888,19738
,,,,,2,women,18455,18706,18972,19448,20000,20950,21867,22774,23941
,,,,,4,men and women,31871,32625,33579,34851,36304,38257,39942,41662,43679
,,,080+,80+ years,1,men,4843,5064,5306,5633,5856,6182,6550,7038,7434
,,,,,2,women,11770,11968,12308,12592,12880,13112,13345,13649,13974
,,,,,4,men and women,16613,17032,17614,18225,18736,19294,19895,20687,21408
,SPBO,special housing,0-9,-9 years,1,men,710,786,899,944,1292,1640,1897,1900,1817
,,,,,2,women,696,753,849,920,1151,1533,1755,1792,1637
,,,,,4,men and women,1406,1539,1748,1864,2443,3173,3652,3692,3454
,,,010-19,10-19 years,1,men,756,871,975,983,1344,2033,2500,2093,1789
,,,,,2,women,489,612,739,737,953,1157,1381,1422,1424
,,,,,4,men and women,1245,1483,1714,1720,2297,3190,3881,3515,3213
,,,020-29,20-29 years,1,men,12499,12108,12389,12169,13659,15441,16968,18630,19398
,,,,,2,women,9746,9912,10335,10155,11147,12296,13210,14205,14848
,,,,,4,men and women,22245,22020,22724,22324,24806,27737,30178,32835,34246
,,,030-39,30-39 years,1,men,4985,5546,6125,5831,6757,7696,8149,8644,8789
,,,,,2,women,2551,2899,3217,3124,3631,4177,4735,5078,5402
,,,,,4,men and women,7536,8445,9342,8955,10388,11873,12884,13722,14191
,,,040-49,40-49 years,1,men,1051,1102,1185,1237,1537,1827,1975,2056,2255
,,,,,2,women,612,646,713,742,874,1033,1211,1278,1305
,,,,,4,men and women,1663,1748,1898,1979,2411,2860,3186,3334,3560
,,,050-59,50-59 years,1,men,689,732,786,825,931,1052,1054,1088,1143
,,,,,2,women,429,519,552,586,652,719,775,827,827
,,,,,4,men and women,1118,1251,1338,1411,1583,1771,1829,1915,1970
,,,060-64,60-64 years,1,men,280,299,333,343,361,401,454,467,468
,,,,,2,women,168,197,213,252,280,310,364,370,376
,,,,,4,men and women,448,496,546,595,641,711,818,837,844
,,,065-69,65-69 years,1,men,237,290,327,391,396,439,454,459,479
,,,,,2,women,215,257,289,318,343,352,406,418,421
,,,,,4,men and women,452,547,616,709,739,791,860,877,900
,,,070-79,70-79 years,1,men,657,665,706,772,857,929,957,1014,1043
,,,,,2,women,1011,1058,1144,1191,1229,1234,1279,1307,1333
,,,,,4,men and women,1668,1723,1850,1963,2086,2163,2236,2321,2376
,,,080+,80+ years,1,men,820,874,1012,1050,1144,1211,1235,1327,1225
,,,,,2,women,3219,3380,3700,3961,4197,4164,4177,4171,4002
,,,,,4,men and women,4039,4254,4712,5011,5341,5375,5412,5498,5227
,OB,other housing,0-9,-9 years,1,men,1308,1490,1676,1847,2215,2464,2570,2597,2468
,,,,,2,women,1284,1458,1670,1830,2134,2298,2412,2413,2320
,,,,,4,men and women,2592,2948,3346,3677,4349,4762,4982,5010,4788
,,,010-19,10-19 years,1,men,1431,1642,1793,1947,2292,2636,2747,2608,2420
,,,,,2,women,1298,1484,1597,1727,1976,2190,2382,2448,2334
,,,,,4,men and women,2729,3126,3390,3674,4268,4826,5129,5056,4754
,,,020-29,20-29 years,1,men,2276,2431,2705,2788,3168,3304,3397,3650,3741
,,,,,2,women,2327,2403,2498,2542,2768,2951,3051,3026,2981
,,,,,4,men and women,4603,4834,5203,5330,5936,6255,6448,6676,6722
,,,030-39,30-39 years,1,men,2376,2658,3027,3233,3495,3779,4010,4010,4044
,,,,,2,women,2255,2526,2750,2985,3128,3310,3489,3644,3686
,,,,,4,men and women,4631,5184,5777,6218,6623,7089,7499,7654,7730
,,,040-49,40-49 years,1,men,1801,1912,2069,2196,2433,2566,2693,2757,2812
,,,,,2,women,1905,1974,2092,2154,2385,2604,2730,2762,2749
,,,,,4,men and women,3706,3886,4161,4350,4818,5170,5423,5519,5561
,,,050-59,50-59 years,1,men,1423,1498,1619,1709,1798,1890,1949,2028,2040
,,,,,2,women,1456,1519,1642,1700,1807,1895,1957,2005,2010
,,,,,4,men and women,2879,3017,3261,3409,3605,3785,3906,4033,4050
,,,060-64,60-64 years,1,men,461,505,559,593,660,699,754,733,746
,,,,,2,women,516,533,572,612,655,696,727,763,746
,,,,,4,men and women,977,1038,1131,1205,1315,1395,1481,1496,1492
,,,065-69,65-69 years,1,men,390,415,438,465,470,475,511,562,553
,,,,,2,women,467,498,501,519,567,545,566,608,607
,,,,,4,men and women,857,913,939,984,1037,1020,1077,1170,1160
,,,070-79,70-79 years,1,men,538,551,578,599,664,703,728,751,726
,,,,,2,women,749,744,759,777,829,862,892,915,902
,,,,,4,men and women,1287,1295,1337,1376,1493,1565,1620,1666,1628
,,,080+,80+ years,1,men,252,264,271,278,299,300,316,357,363
,,,,,2,women,644,659,670,671,684,720,726,735,719
,,,,,4,men and women,896,923,941,949,983,1020,1042,1092,1082
swedish background,SMAG,one- or two-dwelling buildings -- owner-occupied,0-9,-9 years,1,men,305102,302477,302518,301919,304641,301121,297518,292031,287920
